run,label,update,compute_units,query_hops,inference_loops,accuracy,n,source
v2-fixed4-s20260913,Fixed 4 training,1000,1202601984,6,4,0.953125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1000.json
v2-fixed4-s20260913,Fixed 4 training,1000,1202601984,6,6,0.15625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1000.json
v2-fixed4-s20260913,Fixed 4 training,1000,1202601984,6,8,0.1328125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1000.json
v2-fixed4-s20260913,Fixed 4 training,1000,1202601984,8,4,0.234375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1000.json
v2-fixed4-s20260913,Fixed 4 training,1000,1202601984,8,6,0.8046875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1000.json
v2-fixed4-s20260913,Fixed 4 training,1000,1202601984,8,8,0.453125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1000.json
v2-fixed4-s20260913,Fixed 4 training,1200,1442955264,4,4,0.9921875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1200.json
v2-fixed4-s20260913,Fixed 4 training,1200,1442955264,4,6,0.15625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1200.json
v2-fixed4-s20260913,Fixed 4 training,1200,1442955264,4,8,0.078125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1200.json
v2-fixed4-s20260913,Fixed 4 training,1200,1442955264,6,4,0.9609375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1200.json
v2-fixed4-s20260913,Fixed 4 training,1200,1442955264,6,6,0.046875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1200.json
v2-fixed4-s20260913,Fixed 4 training,1200,1442955264,6,8,0.078125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1200.json
