kind,endpoint,arm,update,compute_units,group,loops,training_depth,difficulty,accuracy,correct,n,loss,source
training_loss,,control,148,189136896,,,4,6,,,,0.0023738768795737997,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,149,190414848,,,4,1,,,,4.321335467238896e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,150,191692800,,,4,8,,,,0.10391778126358986,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,151,192970752,,,4,2,,,,5.140898906574876e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,152,194248704,,,4,6,,,,0.4752850933582522,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,153,195526656,,,4,1,,,,3.948806863718346e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,154,196804608,,,4,4,,,,4.209564849588787e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,155,198082560,,,4,3,,,,9.01519712215304e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,156,199360512,,,4,8,,,,0.5456304252147675,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,157,200638464,,,4,8,,,,0.04705163277685642,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,158,201916416,,,4,3,,,,2.8386446615513705e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,159,203194368,,,4,6,,,,0.011511300908750854,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,160,204472320,,,4,1,,,,3.650783924058487e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,161,205750272,,,4,4,,,,1.242712960447534e-05,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,162,207028224,,,4,2,,,,4.544853027255158e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,163,208306176,,,4,4,,,,4.284069746063324e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,164,209584128,,,4,3,,,,1.4379602930603141e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,165,210862080,,,4,6,,,,0.1499109175056219,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,166,212140032,,,4,2,,,,4.991887578853493e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,167,213417984,,,4,8,,,,0.09554407373070717,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
